movie_id,title,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating,studios,genres
6171,Dreamcatcher,2003-03-21,20.023,5.6,1373,68000000,75700000,R,"['Other', ' Village Roadshow Pictures', ' Castle Rock Entertainment', ' NPV Entertainment', ' Other']","['Drama', 'Horror', 'Science Fiction', 'Thriller']"
49047,Gravity,2013-10-03,20.022,7.2,12864,105000000,723192705,PG-13,"['Other', ' Warner Bros. Pictures', ' Heyday Films']","['Science Fiction', 'Thriller', 'Drama']"
7183,Perfect Stranger,2007-04-11,20.017,5.8,678,60795000,73090611,R,"['Columbia Pictures', ' Revolution Studios']",['Thriller']
10987,Halloween: The Curse of Michael Myers,1995-09-29,20.01,5.2,733,5000000,15116634,R,"['Miramax', ' Other', ' Other', ' Trancas International Films', ' Dimension Films']","['Horror', 'Thriller']"
9383,Hollow Man,2000-08-04,19.988,5.9,1911,95000000,190213455,R,"['Columbia Pictures', ' Red Wagon Entertainment', ' Sony Pictures', ' Other']","['Action', 'Science Fiction', 'Thriller']"
4858,The Invasion,2007-08-17,19.982,6.0,1104,80000000,15071514,PG-13,"['Village Roadshow Pictures', ' Silver Pictures', ' Vertigo Entertainment', ' Warner Bros. Pictures']","['Science Fiction', 'Thriller', 'Mystery']"
3093,Basic Instinct 2,2006-03-29,19.977,5.0,545,70000000,38629478,R,"['Other', ' Other', ' Other', ' Other', ' Metro-Goldwyn-Mayer', ' Other']","['Crime', 'Mystery', 'Thriller']"
459910,Braven,2018-02-01,19.976,6.2,771,5000000,823471,R,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other']","['Drama', 'Action', 'Thriller']"
8856,The Karate Kid Part II,1986-06-18,19.968,6.2,1559,13000000,115103979,PG,"['Columbia Pictures', ' Other']","['Adventure', 'Drama', 'Action', 'Romance', 'Family']"
2503,The Bourne Ultimatum,2007-08-03,19.963,7.4,6159,70000000,442824138,PG-13,"['Universal Pictures', ' The Kennedy/Marshall Company', ' Other', ' Other', ' Other', ' Other', ' Other', ' Studio Babelsberg']","['Action', 'Drama', 'Mystery', 'Thriller']"
522212,Just Mercy,2019-12-25,19.953,8.0,1514,25000000,50401502,PG-13,"['Other', ' Other', ' Other', ' Other', ' Other', ' Participant', ' Warner Bros. Pictures']","['Drama', 'Crime', 'History']"
266294,Sisters,2015-12-18,19.921,5.9,1168,30000000,105011053,R,['Other'],['Comedy']
1246,Rocky Balboa,2006-12-20,19.921,6.8,2603,24000000,155721132,PG,"['Other', ' Columbia Pictures', ' Revolution Studios', ' Metro-Goldwyn-Mayer', ' Winkler Films']","['Drama', 'Action']"
9342,The Mask of Zorro,1998-07-16,19.912,6.5,3166,95000000,250288523,PG-13,"['TriStar Pictures', ' Amblin Entertainment']","['Action', 'Adventure']"
5549,RoboCop 2,1990-06-22,19.911,6.0,1329,35000000,45681173,R,['Orion Pictures'],"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']"
300673,The Finest Hours,2016-01-25,19.909,6.5,1294,80000000,52099090,PG-13,"['Other', ' Walt Disney Pictures', ' Other', ' Other']","['Action', 'Drama', 'History', 'Thriller']"
